Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd
22,24,398.192718,0.000833,398.197095,0.000165,*,*,*,*,*,*,*,*
22,26,418.699659,0.000822,418.704641,0.000109,*,*,*,*,*,*,*,*
22,28,437.78124,0.000823,437.786228,0.000121,*,*,*,*,*,*,*,*
22,30,451.962041,0.007119,451.967024,0.007072,*,*,451.975904,0.003,*,*,*,*
22,32,464.234234,0.124717,464.26182,0.082461,*,*,464.383839,0.016,*,*,*,*
22,34,473.71926,0.19595,474.102523,0.121247,*,*,*,*,*,*,*,*
22,36,*,*,*,*,*,*,*,*,*,*,*,*
22,38,*,*,*,*,*,*,*,*,*,*,*,*
22,40,*,*,*,*,*,*,*,*,*,*,*,*
22,42,*,*,*,*,*,*,*,*,*,*,*,*
22,44,*,*,*,*,*,*,*,*,*,*,*,*
22,46,*,*,*,*,*,*,*,*,*,*,*,*
22,48,*,*,*,*,*,*,*,*,*,*,*,*
22,50,*,*,*,*,*,*,*,*,*,*,*,*
22,52,*,*,*,*,*,*,*,*,*,*,*,*
22,54,*,*,*,*,*,*,*,*,*,*,*,*
22,56,*,*,*,*,*,*,*,*,*,*,*,*
22,58,*,*,*,*,*,*,*,*,*,*,*,*
22,60,*,*,*,*,*,*,*,*,*,*,*,*
22,62,*,*,*,*,*,*,*,*,*,*,*,*
22,64,*,*,*,*,*,*,*,*,*,*,*,*
22,66,*,*,*,*,*,*,*,*,*,*,*,*
22,68,*,*,*,*,*,*,*,*,*,*,*,*
22,70,*,*,*,*,*,*,*,*,*,*,*,*
22,72,*,*,*,*,*,*,*,*,*,*,*,*
22,74,*,*,*,*,*,*,*,*,*,*,*,*
22,76,*,*,*,*,*,*,*,*,*,*,*,*
22,78,*,*,*,*,*,*,*,*,*,*,*,*
24,2,*,*,*,*,*,*,*,*,*,*,*,*
24,4,*,*,*,*,*,*,*,*,*,*,*,*
24,6,*,*,*,*,*,*,*,*,*,*,*,*
24,8,*,*,*,*,*,*,*,*,*,*,*,*
24,10,*,*,*,*,*,*,*,*,*,*,*,*
24,12,*,*,*,*,*,*,*,*,*,*,*,*
24,14,*,*,*,*,*,*,*,*,*,*,*,*
